# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
10.033208,74,15.970846
9.320709,66,26.849619
8.900101,67,38.386219
9.005353,67,49.9896
10.552912,77,64.864734
8.05092,59,75.778374
8.735377,62,87.0801
4.903968,28,91.521035
8.579328,66,103.875188
8.424084,62,114.982353
10.104219,79,129.236486
9.695108,71,141.895624
8.409667,62,151.470472
8.491153,64,164.051367
8.099659,56,175.158786
9.978198,72,189.616959
9.448313,71,203.958426
9.034366,67,216.636051
8.13454,58,227.686901
9.060703,67,240.688504
9.966475,72,254.282591
9.293715,71,267.130034
9.335403,71,279.110837
10.081351,75,293.704009
9.725338,72,306.818515
9.61649,72,320.016656
8.394009,60,331.811298
9.292157,67,345.101804
10.139395,77,359.130458
8.032436,59,370.42252
10.846479,82,386.060307
9.323237,66,398.630748
9.388801,69,411.756951
8.508539,59,421.933044
9.604877,69,434.626264
8.799639,63,445.606084
9.000767,68,457.836035
8.759728,63,470.086648
9.662059,67,482.941351
8.842545,65,495.264111
10.023565,73,509.002301
8.775785,59,519.400239
8.430716,58,531.055964
9.556404,74,545.434775
7.894998,56,555.524646
8.299277,57,565.419067
9.475705,69,578.550896
9.51651,69,592.185264
-7.238973,13,594.623375
7.896718,59,605.585265
8.410056,64,617.386618
8.406519,61,629.082482
8.97941,68,641.675964
8.136005,60,652.584032
8.154076,60,663.694128
9.919858,73,677.091401
9.600058,73,691.50262
8.801686,63,702.757207
8.414528,62,714.687777
9.059582,70,728.132406
9.290158,69,741.160252
8.611956,61,752.464718
9.57879,73,765.482629
10.415236,78,780.410268
9.831467,72,794.7742
9.167057,69,807.643222
9.428775,70,820.754192
8.4129,63,832.448132
7.818699,57,844.007112
8.829118,66,857.294507
10.034285,78,872.465764
8.460548,61,884.377333
8.512924,60,895.614017
9.396566,69,908.63451
9.650776,71,922.297264
8.463219,65,933.962803
8.634963,61,944.867071
9.102101,67,956.666615
9.290747,67,968.793253
9.021139,70,982.683932
9.54401,69,995.759995
9.60975,72,1008.26439
8.180482,56,1019.262708
8.550179,59,1030.070464
8.384292,61,1040.693014
9.159365,68,1052.990459
8.611876,64,1065.339215
8.271304,59,1075.761457
9.496066,74,1089.848387
9.293322,69,1101.71675
8.718261,62,1113.10221
9.89923,71,1125.885195
9.974484,72,1138.988436
9.677824,69,1151.866474
8.851788,59,1161.947298
10.321658,79,1175.190214
9.317476,69,1187.516311
10.084758,75,1200.956817
9.360077,66,1212.544657
10.323575,77,1225.565853
10.104247,73,1237.907681
9.661945,69,1250.47261
10.419139,75,1263.55689
9.610205,72,1276.353849
10.214296,76,1290.09449
10.79921,81,1303.898343
10.273407,74,1316.738423
11.082015,80,1329.929201
8.539434,59,1340.796686
10.495121,78,1354.611581
9.692732,71,1366.983334
10.362723,78,1380.630052
10.246495,73,1393.112633
10.318484,71,1405.777096
9.787744,75,1418.376908
10.711742,79,1432.591133
11.233698,82,1446.80233
10.499845,74,1459.513493
10.317542,75,1472.827512
10.330705,78,1486.530141
9.784368,71,1498.464733
9.862102,72,1511.327019
10.757337,78,1525.660896
11.262432,84,1540.54432
8.985495,62,1550.936196
10.432046,74,1563.560866
11.705003,86,1579.253405
9.976073,71,1591.480231
9.972084,70,1603.641103
10.427655,79,1617.399347
10.15838,73,1629.763901
10.257918,80,1644.014451
10.71787,81,1657.992133
9.583955,70,1670.364081
9.880916,71,1682.925912
10.824348,81,1696.559308
10.811246,78,1710.105501
11.6194,79,1723.464387
10.15346,73,1737.006778
11.667651,86,1751.195108
9.818475,71,1763.171092
10.665051,76,1776.831998
10.845116,80,1791.171242
11.475081,87,1806.171068
9.750548,67,1817.451218
11.241698,84,1832.384488
10.916742,80,1846.382402
10.192872,71,1858.998739
10.766888,81,1873.757113
11.559652,84,1888.513536
11.11285,81,1902.660384
11.04505,75,1916.028319
11.15631,81,1930.712037
10.98232,79,1944.194522
11.814912,84,1958.431843
11.546612,84,1973.132987
11.96785,93,1989.134244
9.007335,64,2000.327539
10.333403,79,2013.690351
11.510683,84,2028.413064
9.815861,73,2040.974368
11.361223,84,2055.546249
11.42442,81,2069.372612
11.816439,91,2084.714375
11.18903,82,2099.395772
10.956766,83,2114.154782
10.398031,77,2128.195643
9.875073,66,2139.225349
10.284238,77,2153.357252
12.090283,92,2169.355325
12.316341,89,2185.518705
10.909364,84,2199.914347
11.637292,86,2214.741858
10.534984,75,2227.881568
11.988442,83,2242.138358
10.999121,82,2255.876172
11.282282,82,2270.373927
9.945291,74,2283.991814
11.588784,86,2298.811965
11.222175,79,2313.097108
12.5157,93,2329.307299
10.327202,70,2341.267944
10.671553,77,2354.222398
11.251843,84,2369.428496
10.777856,76,2382.928774
10.719112,73,2395.000468
11.427737,80,2409.525492
11.92235,89,2424.742755
10.2856,73,2437.178284
12.181745,91,2453.534378
10.467145,72,2466.616215
10.977075,82,2481.462052
10.795727,84,2495.918441
11.100952,76,2509.452533
11.408484,86,2524.334613
10.312613,76,2537.842451
11.910813,94,2555.265526
10.790523,82,2569.472826
10.513386,79,2583.75765
