checkpoint	avg_score	success	result_json
PCT-best.pt	86.14	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/PCT-best/sim_results/result.json
PCT-latest.pt	85.42	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/PCT-latest/sim_results/result.json
candidate-000000.pt	86.14	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-000000/sim_results/result.json
candidate-000300.pt	83.94	False	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-000300/sim_results/result.json
candidate-000350.pt	84.46	False	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-000350/sim_results/result.json
candidate-000750.pt	84.83	False	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-000750/sim_results/result.json
candidate-000850.pt	87.03	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-000850/sim_results/result.json
candidate-001200.pt	86.44	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-001200/sim_results/result.json
candidate-001350.pt	85.75	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-001350/sim_results/result.json
candidate-001400.pt	85.95	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-001400/sim_results/result.json
candidate-001450.pt	85.95	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-001450/sim_results/result.json
candidate-001500.pt	85.42	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_shortlist/candidate-001500/sim_results/result.json
