checkpoint	avg_score	success	result_json
PCT-best.pt	86.14	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/PCT-best/sim_results/result.json
PCT-latest.pt	85.68	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/PCT-latest/sim_results/result.json
candidate-000000.pt	86.14	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000000/sim_results/result.json
candidate-000050.pt	84.22	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000050/sim_results/result.json
candidate-000100.pt	85.13	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000100/sim_results/result.json
candidate-000150.pt	85.15	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000150/sim_results/result.json
candidate-000200.pt	85.04	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000200/sim_results/result.json
candidate-000250.pt	85.82	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000250/sim_results/result.json
candidate-000300.pt	85.07	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000300/sim_results/result.json
candidate-000350.pt	85.21	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000350/sim_results/result.json
candidate-000400.pt	85.44	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000400/sim_results/result.json
candidate-000450.pt	85.49	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000450/sim_results/result.json
candidate-000500.pt	85.28	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000500/sim_results/result.json
candidate-000550.pt	86.10	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000550/sim_results/result.json
candidate-000600.pt	85.50	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000600/sim_results/result.json
candidate-000650.pt	85.22	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000650/sim_results/result.json
candidate-000700.pt	84.17	False	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000700/sim_results/result.json
candidate-000750.pt	84.00	False	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_guard_v1_lr5e7_cont/candidate-000750/sim_results/result.json
