[gat-train] wandb run url: https://wandb.ai/nkyeonjae1009-university-of-seoul/assignment2-pallet/runs/soyxkhtk
[gat-train] run_dir=isaaclab_pallet/runs/sun_terminal18_env128_workers4_rand10eval_sun_v1_deploybest device=cuda:0 num_envs=128 num_packer_workers=4 obs_shape=(128, 301, 9) leaf_shape=(128, 100, 9) num_steps=5 normFactor=0.8 drift_fail_threshold=0.4 reward_profile=sun_v1 learn_finish_action=False action_space=100 candidate_rerank_k=0 candidate_diversity_center_m=0.05
[gat-train] eval_seq_count=10 box_seq_dir=artifacts/random_spec_eval_10/box_sequence eval_sequences=random_spec_000,random_spec_001,random_spec_002,random_spec_003,random_spec_004,random_spec_005,random_spec_006,random_spec_007,random_spec_008,random_spec_009
/home/user/Documents/assignment2_project/templete code/src/pct/convex_hull.py:104: DeprecationWarning: Arrays of 2-dimensional vectors are deprecated. Use arrays of 3-dimensional vectors instead. (deprecated in NumPy 2.0)
  if np.sum(np.cross(coords[i] - point, point - coords[j])) == 0:
[gat-train] initial deployment score = 84.79 (torch_eval=87.48)  -> PCT-best.pt
[gat-train] update=1 samples=640 fps=13.6 loss=0.0781 actor=-0.2557 value=0.3399 entropy=0.6112 mean_return=0.000 mean_len=0.0
[gat-train] update=2 samples=1280 fps=25.1 loss=0.3110 actor=0.1397 value=0.1822 entropy=1.0988 mean_return=0.000 mean_len=0.0
[gat-train] update=3 samples=1920 fps=34.2 loss=0.9777 actor=0.6490 value=0.3475 entropy=1.8796 mean_return=0.000 mean_len=0.0
[gat-train] update=4 samples=2560 fps=40.5 loss=3.4660 actor=2.0682 value=1.4193 entropy=2.1575 mean_return=0.000 mean_len=0.0
[gat-train] update=5 samples=3200 fps=45.1 loss=3.2635 actor=2.0447 value=1.2420 entropy=2.3219 mean_return=0.000 mean_len=0.0
[gat-train] update=6 samples=3840 fps=48.1 loss=3.5758 actor=2.4015 value=1.2000 entropy=2.5733 mean_return=0.000 mean_len=0.0
[gat-train] update=7 samples=4480 fps=50.4 loss=3.3532 actor=2.2008 value=1.1768 entropy=2.4418 mean_return=0.000 mean_len=0.0
[gat-train] update=8 samples=5120 fps=51.9 loss=3.0880 actor=2.0162 value=1.0962 entropy=2.4350 mean_return=0.000 mean_len=0.0
[gat-train] update=9 samples=5760 fps=52.9 loss=2.9680 actor=1.9685 value=1.0237 entropy=2.4174 mean_return=0.000 mean_len=0.0
[gat-train] update=10 samples=6400 fps=53.3 loss=3.1289 actor=1.9212 value=1.2311 entropy=2.3473 mean_return=23.724 mean_len=48.0
[gat-train] update=11 samples=7040 fps=53.6 loss=2.5363 actor=1.6462 value=0.9133 entropy=2.3294 mean_return=23.724 mean_len=48.0
[gat-train] update=12 samples=7680 fps=53.6 loss=2.6484 actor=1.6883 value=0.9830 entropy=2.2952 mean_return=23.724 mean_len=48.0
[gat-train] update=13 samples=8320 fps=53.6 loss=2.8262 actor=1.8030 value=1.0450 entropy=2.1863 mean_return=23.724 mean_len=48.0
[gat-train] update=14 samples=8960 fps=53.7 loss=2.7262 actor=1.6233 value=1.1238 entropy=2.0871 mean_return=29.329 mean_len=65.4
[gat-train] update=15 samples=9600 fps=54.6 loss=2.6573 actor=1.4353 value=1.2412 entropy=1.9213 mean_return=31.675 mean_len=71.7
[gat-train] update=16 samples=10240 fps=56.3 loss=1.6215 actor=0.7711 value=0.8670 entropy=1.6592 mean_return=34.165 mean_len=77.9
[gat-train] update=17 samples=10880 fps=58.3 loss=1.1716 actor=0.4650 value=0.7207 entropy=1.4026 mean_return=35.645 mean_len=81.7
[gat-train] update=18 samples=11520 fps=60.1 loss=0.9315 actor=0.3615 value=0.5823 entropy=1.2332 mean_return=36.364 mean_len=83.0
[gat-train] update=19 samples=12160 fps=61.4 loss=1.7437 actor=0.9089 value=0.8479 entropy=1.3148 mean_return=36.501 mean_len=83.2
[gat-train] update=20 samples=12800 fps=62.3 loss=2.6612 actor=1.4333 value=1.2434 entropy=1.5487 mean_return=36.501 mean_len=83.2
[gat-train] update=21 samples=13440 fps=62.9 loss=2.8905 actor=1.6746 value=1.2339 entropy=1.7985 mean_return=36.501 mean_len=83.2
[gat-train] update=22 samples=14080 fps=63.2 loss=2.9759 actor=1.7787 value=1.2172 entropy=1.9977 mean_return=36.501 mean_len=83.2
[gat-train] update=23 samples=14720 fps=63.1 loss=3.0643 actor=1.8778 value=1.2076 entropy=2.1060 mean_return=36.501 mean_len=83.2
[gat-train] update=24 samples=15360 fps=63.1 loss=3.0074 actor=1.8747 value=1.1543 entropy=2.1551 mean_return=36.501 mean_len=83.2
[gat-train] update=25 samples=16000 fps=63.0 loss=3.3189 actor=2.0802 value=1.2614 entropy=2.2609 mean_return=36.501 mean_len=83.2
[gat-train] update=26 samples=16640 fps=62.6 loss=2.7964 actor=1.8283 value=0.9911 entropy=2.3015 mean_return=36.501 mean_len=83.2
[gat-train] update=27 samples=17280 fps=62.2 loss=2.5642 actor=1.6490 value=0.9376 entropy=2.2408 mean_return=36.541 mean_len=83.3
[gat-train] update=28 samples=17920 fps=61.8 loss=2.5460 actor=1.6340 value=0.9341 entropy=2.2226 mean_return=36.541 mean_len=83.3
[gat-train] update=29 samples=18560 fps=61.4 loss=2.4158 actor=1.4648 value=0.9718 entropy=2.0818 mean_return=36.310 mean_len=82.7
[gat-train] update=30 samples=19200 fps=61.0 loss=2.5349 actor=1.4933 value=1.0613 entropy=1.9707 mean_return=36.019 mean_len=82.0
[gat-train] update=31 samples=19840 fps=61.2 loss=1.9835 actor=1.0454 value=0.9561 entropy=1.7968 mean_return=35.665 mean_len=79.7
[gat-train] update=32 samples=20480 fps=61.7 loss=1.5304 actor=0.7162 value=0.8314 entropy=1.7208 mean_return=35.546 mean_len=80.1
[gat-train] update=33 samples=21120 fps=62.5 loss=1.1468 actor=0.4221 value=0.7408 entropy=1.6153 mean_return=36.909 mean_len=82.2
[gat-train] update=34 samples=21760 fps=63.3 loss=1.1180 actor=0.4418 value=0.6910 entropy=1.4861 mean_return=37.452 mean_len=83.7
[gat-train] update=35 samples=22400 fps=63.9 loss=1.8747 actor=0.9070 value=0.9817 entropy=1.3913 mean_return=38.082 mean_len=85.1
[gat-train] update=36 samples=23040 fps=64.4 loss=1.8878 actor=0.9470 value=0.9543 entropy=1.3612 mean_return=38.303 mean_len=85.4
[gat-train] update=37 samples=23680 fps=64.7 loss=2.4160 actor=1.2630 value=1.1678 entropy=1.4784 mean_return=38.303 mean_len=85.4
[gat-train] update=38 samples=24320 fps=64.9 loss=2.5017 actor=1.3479 value=1.1693 entropy=1.5439 mean_return=38.303 mean_len=85.4
[gat-train] update=39 samples=24960 fps=65.0 loss=2.6957 actor=1.5048 value=1.2073 entropy=1.6481 mean_return=38.303 mean_len=85.4
[gat-train] update=40 samples=25600 fps=64.9 loss=2.7766 actor=1.5921 value=1.2019 entropy=1.7427 mean_return=38.303 mean_len=85.4
[gat-train] update=41 samples=26240 fps=64.7 loss=2.6716 actor=1.5778 value=1.1117 entropy=1.7827 mean_return=38.303 mean_len=85.4
[gat-train] update=42 samples=26880 fps=64.5 loss=2.4949 actor=1.4931 value=1.0210 entropy=1.9203 mean_return=38.159 mean_len=85.1
[gat-train] update=43 samples=27520 fps=64.2 loss=2.4693 actor=1.5612 value=0.9277 entropy=1.9520 mean_return=38.159 mean_len=85.1
[gat-train] update=44 samples=28160 fps=63.9 loss=2.5947 actor=1.6305 value=0.9837 entropy=1.9415 mean_return=38.159 mean_len=85.1
[gat-train] update=45 samples=28800 fps=63.6 loss=2.2453 actor=1.3632 value=0.9019 entropy=1.9842 mean_return=37.770 mean_len=84.5
[gat-train] update=46 samples=29440 fps=63.4 loss=2.3545 actor=1.3761 value=0.9976 entropy=1.9260 mean_return=37.185 mean_len=83.5
[gat-train] update=47 samples=30080 fps=63.4 loss=1.8896 actor=0.9603 value=0.9484 entropy=1.9093 mean_return=36.219 mean_len=81.7
[gat-train] update=48 samples=30720 fps=63.6 loss=1.7518 actor=0.7977 value=0.9724 entropy=1.8243 mean_return=35.419 mean_len=79.7
[gat-train] update=49 samples=31360 fps=64.0 loss=1.1143 actor=0.3685 value=0.7618 entropy=1.6046 mean_return=36.225 mean_len=81.3
[gat-train] update=50 samples=32000 fps=64.4 loss=1.1651 actor=0.4900 value=0.6895 entropy=1.4438 mean_return=36.737 mean_len=82.1
[gat-train] eval update=50 torch_score=85.44 best=84.79
[gat-train] update=51 samples=32640 fps=62.5 loss=1.2559 actor=0.5381 value=0.7320 entropy=1.4204 mean_return=37.299 mean_len=82.8
[gat-train] update=52 samples=33280 fps=62.9 loss=1.8028 actor=0.9204 value=0.8969 entropy=1.4430 mean_return=37.226 mean_len=82.8
[gat-train] update=53 samples=33920 fps=63.1 loss=2.3060 actor=1.2419 value=1.0799 entropy=1.5775 mean_return=37.370 mean_len=82.8
